X,Y,Z,U,V,W,MoveTime(ms)
0,0,0,0,0,0,1
0,0,250,0,0,0,1
-0.003,0.003,250.001,0.002,0.001,0.001,1
-0.023,0.014,250.026,0.007,0.004,0.001,1
-0.084,0.033,250.086,0.013,0.006,0.001,1
-0.198,0.049,250.173,0.02,0.008,0,1
-0.36,0.059,250.299,0.027,0.01,-0.003,1
-0.56,0.079,250.447,0.033,0.008,-0.005,1
-0.79,0.114,250.597,0.038,0.005,-0.005,1
-1.053,0.145,250.747,0.041,0.003,-0.003,1
-1.352,0.165,250.881,0.044,0.003,0.002,1
-1.683,0.183,250.99,0.043,0.007,0.005,1
-2.035,0.21,251.068,0.038,0.012,0.007,1
-2.404,0.251,251.133,0.034,0.015,0.008,1
-2.791,0.306,251.195,0.031,0.017,0.009,1
-3.2,0.361,251.245,0.028,0.019,0.009,1
-3.626,0.409,251.273,0.027,0.022,0.007,1
-4.062,0.462,251.273,0.026,0.024,0.005,1
-4.509,0.525,251.26,0.022,0.029,0.005,1
-4.975,0.594,251.239,0.016,0.037,0.005,1
-5.463,0.661,251.209,0.011,0.045,0.006,1
-5.967,0.728,251.174,0.005,0.051,0.005,1
-6.486,0.797,251.148,-0.001,0.056,0.005,1
-7.024,0.876,251.116,-0.008,0.059,0.006,1
-7.581,0.967,251.053,-0.014,0.062,0.007,1
-8.147,1.066,250.95,-0.017,0.067,0.009,1
-8.719,1.171,250.812,-0.021,0.069,0.012,1
-9.303,1.28,250.659,-0.026,0.069,0.013,1
-9.909,1.388,250.505,-0.032,0.07,0.016,1
-10.537,1.504,250.326,-0.036,0.072,0.021,1
-11.171,1.642,250.106,-0.039,0.072,0.027,1
-11.798,1.805,249.864,-0.043,0.071,0.028,1
-12.426,1.99,249.62,-0.047,0.067,0.028,1
-13.071,2.184,249.38,-0.048,0.063,0.027,1
-13.737,2.384,249.136,-0.047,0.059,0.026,1
-14.417,2.59,248.885,-0.047,0.055,0.028,1
-15.107,2.81,248.633,-0.047,0.051,0.03,1
-15.809,3.043,248.395,-0.048,0.045,0.03,1
-16.525,3.291,248.163,-0.046,0.039,0.029,1
-17.252,3.544,247.934,-0.043,0.034,0.028,1
-17.988,3.797,247.714,-0.04,0.03,0.027,1
-18.735,4.049,247.511,-0.039,0.028,0.027,1
-19.496,4.297,247.322,-0.04,0.026,0.027,1
-20.268,4.542,247.157,-0.04,0.026,0.025,1
-21.048,4.796,247.019,-0.038,0.026,0.02,1
-21.836,5.059,246.898,-0.034,0.025,0.015,1
-22.634,5.323,246.79,-0.029,0.024,0.012,1
-23.438,5.582,246.707,-0.021,0.023,0.01,1
-24.242,5.844,246.647,-0.01,0.023,0.007,1
-25.042,6.113,246.608,0.001,0.022,0.005,1
-25.839,6.375,246.593,0.013,0.023,0.003,1
-26.635,6.621,246.598,0.026,0.022,0,1
-27.428,6.849,246.63,0.039,0.021,-0.003,1
-28.205,7.067,246.706,0.052,0.018,-0.006,1
-28.961,7.273,246.834,0.061,0.016,-0.01,1
-29.706,7.452,246.981,0.067,0.014,-0.014,1
-30.443,7.591,247.111,0.072,0.014,-0.014,1
-31.173,7.706,247.211,0.078,0.016,-0.013,1
-31.894,7.825,247.279,0.083,0.019,-0.013,1
-32.604,7.959,247.323,0.089,0.021,-0.016,1
-33.302,8.097,247.363,0.096,0.022,-0.02,1
-33.981,8.213,247.43,0.105,0.022,-0.023,1
-34.64,8.297,247.549,0.112,0.024,-0.024,1
-35.281,8.362,247.703,0.118,0.03,-0.025,1
-35.898,8.42,247.87,0.125,0.037,-0.025,1
-36.481,8.473,248.057,0.133,0.045,-0.026,1
-37.031,8.517,248.265,0.137,0.05,-0.026,1
-37.558,8.537,248.491,0.139,0.051,-0.025,1
-38.069,8.525,248.725,0.139,0.051,-0.023,1
-38.558,8.488,248.963,0.137,0.056,-0.022,1
-39.017,8.439,249.197,0.132,0.063,-0.024,1
-39.448,8.383,249.416,0.127,0.067,-0.028,1
-39.855,8.308,249.608,0.124,0.07,-0.033,1
-40.248,8.213,249.772,0.119,0.074,-0.037,1
-40.623,8.119,249.917,0.114,0.079,-0.04,1
-40.976,8.048,250.044,0.107,0.082,-0.041,1
-41.302,7.981,250.166,0.1,0.085,-0.04,1
-41.611,7.886,250.294,0.096,0.086,-0.037,1
-41.908,7.76,250.447,0.095,0.088,-0.035,1
-42.19,7.618,250.626,0.095,0.09,-0.033,1
-42.445,7.466,250.826,0.096,0.091,-0.031,1
-42.671,7.308,251.022,0.095,0.09,-0.03,1
-42.871,7.149,251.191,0.094,0.089,-0.031,1
-43.05,6.985,251.335,0.09,0.089,-0.035,1
-43.21,6.815,251.467,0.086,0.089,-0.04,1
-43.35,6.64,251.594,0.082,0.088,-0.045,1
-43.47,6.467,251.706,0.076,0.083,-0.047,1
-43.571,6.298,251.789,0.072,0.073,-0.049,1
-43.653,6.114,251.857,0.069,0.062,-0.051,1
-43.717,5.908,251.897,0.067,0.053,-0.055,1
-43.757,5.703,251.881,0.066,0.044,-0.058,1
-43.765,5.523,251.791,0.064,0.031,-0.059,1
-43.74,5.357,251.65,0.062,0.016,-0.056,1
-43.689,5.178,251.498,0.06,0.002,-0.055,1
-43.624,4.969,251.333,0.057,-0.011,-0.054,1
-43.536,4.746,251.115,0.052,-0.027,-0.051,1
-43.41,4.536,250.825,0.046,-0.046,-0.048,1
-43.249,4.339,250.464,0.039,-0.066,-0.045,1
-43.061,4.131,250.035,0.034,-0.086,-0.042,1
-42.849,3.888,249.547,0.03,-0.105,-0.039,1
-42.607,3.62,249.008,0.025,-0.125,-0.035,1
-42.337,3.356,248.409,0.019,-0.145,-0.032,1
-42.045,3.109,247.742,0.015,-0.166,-0.03,1
-41.736,2.867,247.01,0.013,-0.185,-0.031,1
-41.413,2.615,246.241,0.008,-0.204,-0.032,1
-41.071,2.358,245.447,0.004,-0.221,-0.03,1
-40.705,2.105,244.634,0.001,-0.238,-0.026,1
-40.316,1.865,243.802,0,-0.255,-0.021,1
-39.905,1.636,242.96,-0.003,-0.271,-0.018,1
-39.479,1.409,242.107,-0.009,-0.287,-0.015,1
-39.044,1.186,241.242,-0.013,-0.302,-0.013,1
-38.597,0.97,240.392,-0.016,-0.314,-0.013,1
-38.127,0.769,239.569,-0.019,-0.326,-0.011,1
-37.629,0.58,238.777,-0.022,-0.339,-0.009,1
-37.113,0.389,238.019,-0.024,-0.351,-0.01,1
-36.591,0.178,237.294,-0.028,-0.362,-0.011,1
-36.06,-0.046,236.601,-0.033,-0.37,-0.01,1
-35.513,-0.254,235.93,-0.039,-0.378,-0.004,1
-34.949,-0.439,235.289,-0.045,-0.385,0,1
-34.382,-0.619,234.691,-0.051,-0.391,0.003,1
-33.831,-0.802,234.14,-0.057,-0.394,0.005,1
-33.291,-0.979,233.637,-0.061,-0.395,0.008,1
-32.753,-1.139,233.194,-0.065,-0.397,0.007,1
-32.22,-1.28,232.828,-0.067,-0.399,0.006,1
-31.701,-1.42,232.541,-0.066,-0.4,0.005,1
-31.206,-1.574,232.338,-0.065,-0.397,0.005,1
-30.731,-1.729,232.217,-0.062,-0.393,0.005,1
-30.27,-1.852,232.17,-0.061,-0.388,0.004,1
-29.822,-1.935,232.179,-0.062,-0.381,0.002,1
-29.392,-1.997,232.224,-0.062,-0.372,0.001,1
-28.983,-2.054,232.319,-0.062,-0.362,0,1
-28.593,-2.103,232.481,-0.061,-0.349,-0.001,1
-28.213,-2.13,232.702,-0.06,-0.336,0.001,1
-27.84,-2.137,232.963,-0.059,-0.321,0.001,1
-27.473,-2.132,233.251,-0.056,-0.307,-0.002,1
-27.12,-2.117,233.564,-0.054,-0.291,-0.006,1
-26.786,-2.092,233.906,-0.052,-0.276,-0.009,1
-26.472,-2.064,234.264,-0.053,-0.262,-0.011,1
-26.176,-2.031,234.615,-0.057,-0.247,-0.012,1
-25.898,-1.986,234.941,-0.06,-0.233,-0.015,1
-25.646,-1.931,235.248,-0.061,-0.217,-0.019,1
-25.424,-1.869,235.547,-0.062,-0.198,-0.02,1
-25.233,-1.787,235.824,-0.062,-0.177,-0.019,1
-25.063,-1.669,236.077,-0.06,-0.157,-0.016,1
-24.914,-1.529,236.322,-0.06,-0.139,-0.013,1
-24.792,-1.397,236.574,-0.059,-0.122,-0.012,1
-24.701,-1.278,236.819,-0.058,-0.103,-0.015,1
-24.634,-1.147,237.047,-0.059,-0.087,-0.019,1
